# Records excluded from the picker entirely.
# Format: UNITID | reason | name

499352 | CYACTIVE=3 (closed or out-of-scope) | Paul Mitchell The School Great Lakes - Sarasota
499714 | CYACTIVE=3 (closed or out-of-scope) | Pearl River Community College - Hancock Workforce Academy Hangar
121275 | CYACTIVE=3 (closed or out-of-scope) | Platt College-San Diego
499486 | CYACTIVE=3 (closed or out-of-scope) | Porter and Chester Institute - New London 2
219295 | CYACTIVE=3 (closed or out-of-scope) | Presentation College
130217 | CYACTIVE=3 (closed or out-of-scope) | Quinebaug Valley Community College
368540 | CYACTIVE=3 (closed or out-of-scope) | Seguin Beauty School-New Braunfels
499158 | CYACTIVE=3 (closed or out-of-scope) | Southeastern Baptist Theological Seminary-Nash County Extension Center
499167 | CYACTIVE=3 (closed or out-of-scope) | Southeastern Baptist Theological Seminary-Wake County Extension Center
436261 | CYACTIVE=3 (closed or out-of-scope) | Southwest Acupuncture College-Boulder
366605 | CYACTIVE=3 (closed or out-of-scope) | Southwest Acupuncture College-Santa Fe
219921 | CYACTIVE=3 (closed or out-of-scope) | Tennessee College of Applied Technology-Covington
499060 | CYACTIVE=3 (closed or out-of-scope) | Tennessee College of Applied Technology-Jacksboro -
221388 | CYACTIVE=3 (closed or out-of-scope) | Tennessee College of Applied Technology-Ripley
138813 | CYACTIVE=3 (closed or out-of-scope) | The Art Institute of Atlanta
451820 | CYACTIVE=3 (closed or out-of-scope) | The Art Institute of Austin
222938 | CYACTIVE=3 (closed or out-of-scope) | The Art Institute of Houston
458982 | CYACTIVE=3 (closed or out-of-scope) | The Art Institute of San Antonio
458496 | CYACTIVE=3 (closed or out-of-scope) | The Art Institute of Virginia Beach
462345 | CYACTIVE=3 (closed or out-of-scope) | The Salon Professional Academy
129808 | CYACTIVE=3 (closed or out-of-scope) | Three Rivers Community College
499626 | CYACTIVE=3 (closed or out-of-scope) | Unity Environmental University - Unity
261861 | CYACTIVE=3 (closed or out-of-scope) | West Virginia Junior College-United Career Institute
486460 | CYACTIVE=3 (closed or out-of-scope) | Wright Graduate University for the Realization of Human Potential
219338 | ROOM=-1 (unknown / not applicable) | Avera Sacred Heart Hospital
475477 | ROOM=-1 (unknown / not applicable) | City College-Hollywood
498960 | ROOM=-1 (unknown / not applicable) | Healthcare Workforce Training Institute
246345 | ROOM=-1 (unknown / not applicable) | Houston Graduate School of Theology
496061 | ROOM=-1 (unknown / not applicable) | Mason Anthony School of Cosmetology Arts & Sciences
366632 | ROOM=-1 (unknown / not applicable) | Mercer County Career Center
454184 | ROOM=-1 (unknown / not applicable) | The King's College
475237 | ROOM=-1 (unknown / not applicable) | The University of America
222497 | SECTOR=0 (administrative unit) | Alamo Community College District Central Office
440138 | SECTOR=0 (administrative unit) | Antioch University-System Administration
420802 | SECTOR=0 (administrative unit) | Arizona Board of Regents
448336 | SECTOR=0 (administrative unit) | Arkansas State University System
175999 | SECTOR=0 (administrative unit) | Board of Trustees-Mississippi State Institutions of Higher Learning
110501 | SECTOR=0 (administrative unit) | California State University-Chancellors Office
485467 | SECTOR=0 (administrative unit) | Carrington College-Administrative Office
454218 | SECTOR=0 (administrative unit) | Chamberlain University-Administrative Office
144500 | SECTOR=0 (administrative unit) | City Colleges of Chicago-District Office
112376 | SECTOR=0 (administrative unit) | Coast Community College District Office
446978 | SECTOR=0 (administrative unit) | Colorado State University-System Office
112817 | SECTOR=0 (administrative unit) | Contra Costa Community College District Office
190035 | SECTOR=0 (administrative unit) | CUNY System Office
130882 | SECTOR=0 (administrative unit) | Delaware Technical Community College-Central Office
144777 | SECTOR=0 (administrative unit) | DeVry University-Administrative Office
114831 | SECTOR=0 (administrative unit) | Foothill-De Anza Community College District
115287 | SECTOR=0 (administrative unit) | Grossmont-Cuyamaca Community College District
443368 | SECTOR=0 (administrative unit) | Illinois Eastern Community College-System Office
242671 | SECTOR=0 (administrative unit) | Inter American University of Puerto Rico-Central Office
157854 | SECTOR=0 (administrative unit) | Kentucky Community and Technical College System
117681 | SECTOR=0 (administrative unit) | Los Angeles Community College District Office
117900 | SECTOR=0 (administrative unit) | Los Rios Community College District Office
105136 | SECTOR=0 (administrative unit) | Maricopa Community College System Office
428453 | SECTOR=0 (administrative unit) | Minnesota State Colleges and Universities System Office
247737 | SECTOR=0 (administrative unit) | Mississippi Community College Board
182519 | SECTOR=0 (administrative unit) | Nevada System of Higher Education-System Office
120023 | SECTOR=0 (administrative unit) | North Orange County Community College District
214661 | SECTOR=0 (administrative unit) | Pennsylvania State System of Higher Education-Central Office
121178 | SECTOR=0 (administrative unit) | Peralta Community College System Office
438665 | SECTOR=0 (administrative unit) | Rancho Santiago Community College District Office
428426 | SECTOR=0 (administrative unit) | San Bernardino Community College District
122320 | SECTOR=0 (administrative unit) | San Diego Community College District-District Office
448381 | SECTOR=0 (administrative unit) | San Joaquin Valley College-Central Administrative Office
122737 | SECTOR=0 (administrative unit) | San Jose-Evergreen Community College District
122782 | SECTOR=0 (administrative unit) | San Mateo County Community College District Office
242060 | SECTOR=0 (administrative unit) | Sistema Universitario Ana G. Mendez
432144 | SECTOR=0 (administrative unit) | South Orange County Community College District
149240 | SECTOR=0 (administrative unit) | Southern Illinois University-System Office
160533 | SECTOR=0 (administrative unit) | Southern University-Board and System
123925 | SECTOR=0 (administrative unit) | State Center Community College District
195827 | SECTOR=0 (administrative unit) | SUNY-System Office
409379 | SECTOR=0 (administrative unit) | Tennessee Board of Regents
228732 | SECTOR=0 (administrative unit) | Texas A & M University-System Office
439154 | SECTOR=0 (administrative unit) | Texas Tech University System Administration
492263 | SECTOR=0 (administrative unit) | The University of Tennessee System Office
229090 | SECTOR=0 (administrative unit) | The University of Texas System Office
100733 | SECTOR=0 (administrative unit) | University of Alabama System Office
103529 | SECTOR=0 (administrative unit) | University of Alaska System of Higher Education
108056 | SECTOR=0 (administrative unit) | University of Arkansas System Office
124557 | SECTOR=0 (administrative unit) | University of California-System Administration Central Office
128300 | SECTOR=0 (administrative unit) | University of Colorado System Office
141963 | SECTOR=0 (administrative unit) | University of Hawaii System Office
229407 | SECTOR=0 (administrative unit) | University of Houston-System Administration
149587 | SECTOR=0 (administrative unit) | University of Illinois System Offices
247083 | SECTOR=0 (administrative unit) | University of Louisiana-System Administration
161280 | SECTOR=0 (administrative unit) | University of Maine-System Central Office
166665 | SECTOR=0 (administrative unit) | University of Massachusetts-Central Office
178439 | SECTOR=0 (administrative unit) | University of Missouri-System Office
181747 | SECTOR=0 (administrative unit) | University of Nebraska-Central Administration System Office
199175 | SECTOR=0 (administrative unit) | University of North Carolina System
443711 | SECTOR=0 (administrative unit) | University of North Texas System
243160 | SECTOR=0 (administrative unit) | University of Puerto Rico-Central Administration
240435 | SECTOR=0 (administrative unit) | University of Wisconsin-System Administration
164146 | SECTOR=0 (administrative unit) | University System of Maryland
404480 | SECTOR=0 (administrative unit) | University System of Maryland-Research Centers
183327 | SECTOR=0 (administrative unit) | University System of New Hampshire System Office
125019 | SECTOR=0 (administrative unit) | Ventura County Community College System Office
231156 | SECTOR=0 (administrative unit) | Vermont State Colleges-Office of the Chancellor
448637 | SECTOR=0 (administrative unit) | West Hills Community College District
125222 | SECTOR=0 (administrative unit) | West Valley Mission Community College District Office
126100 | SECTOR=0 (administrative unit) | Yosemite Community College District Office
487898 | no IC record (housing data missing) | B-Unique Beauty and Barber Academy
497666 | no IC record (housing data missing) | California University-Silicon Valley
201751 | no IC record (housing data missing) | Chatfield College
113616 | no IC record (housing data missing) | Dharma Realm Buddhist University
490559 | no IC record (housing data missing) | Gwinnett Institute
441238 | no IC record (housing data missing) | Irell & Manella Graduate School of Biological Sciences at City of Hope
185174 | no IC record (housing data missing) | Joe Kubert School of Cartoon and Graphic Art
188696 | no IC record (housing data missing) | Joffrey Ballet School
182999 | no IC record (housing data missing) | New England School of Hair Design
418764 | no IC record (housing data missing) | Quality Technical and Beauty College
495396 | no IC record (housing data missing) | Royal Learning Institute
